Tag;Spieldatum;Zeit;Typ;Heimteam;Gastteam;Informationen
Sonntag;16.08.2026;11:00;Meisterschaft;FC Rheineck D-2 Junioren;FC Staad b;Bei gutem Wetter auf dem Hauptplatz
Freitag;21.08.2026;20:00;Meisterschaft;FC Rheineck-Au Grp. 50+;FC Gossau;Bei gutem Wetter auf dem Hauptplatz
Samstag;22.08.2026;11:00;Meisterschaft;FC Rheineck D-2 Junioren;FC Diepoldsau-Schmitter;Bei gutem Wetter auf dem Hauptplatz
Samstag;22.08.2026;17:00;Meisterschaft;FC Rheineck 1;FC Sevelen;Bei gutem Wetter auf dem Hauptplatz
Sonntag;23.08.2026;10:00;Meisterschaft;FC Rheineck D-1 Junioren;FC Rorschach-Goldach;Bei gutem Wetter auf dem Hauptplatz
Freitag;28.08.2026;20:00;Meisterschaft;FC Rheineck 2;FC Rorschacherberg;Bei gutem Wetter auf dem Hauptplatz
Samstag;29.08.2026;17:00;Meisterschaft;FC Rheineck 1;FC Diepoldsau-Schmitter;Bei gutem Wetter auf dem Hauptplatz
Sonntag;30.08.2026;12:00;Meisterschaft;FC Au-Rheineck Damen 1;FC Romanshorn;Bei gutem Wetter auf dem Hauptplatz
Freitag;04.09.2026;20:00;Meisterschaft;FC Rheineck-Au Grp. 50+;SC Brühl SG;Bei gutem Wetter auf dem Hauptplatz
Samstag;05.09.2026;09:00;Meisterschaft;FC Rheineck;Diverse Teams;Genaue Informationen bei Mirco anfordern
Samstag;05.09.2026;12:00;Meisterschaft;FC Rheineck D-2 Junioren;FC Rorschacherberg;Bei gutem Wetter auf dem Hauptplatz
Samstag;05.09.2026;17:00;Meisterschaft;FC Au-Rheineck Damen 2;FC Altstätten;Bei gutem Wetter auf dem Hauptplatz
Sonntag;06.09.2026;10:00;Meisterschaft;FC Rheineck D-1 Junioren;FC Teufen;Bei gutem Wetter auf dem Hauptplatz
Freitag;11.09.2026;20:15;Meisterschaft;FC Rheineck-Staad;FC Montlingen;Bei gutem Wetter auf dem Hauptplatz
Samstag;12.09.2026;12:00;Meisterschaft;FC St. Margrethen Jun.;FC Herisau;Gast-Spiel, da in St.Margrethen Platz besetzt ist. Spiel ist auf dem Kunstrasen
Samstag;12.09.2026;14:00;Meisterschaft;FC St. Margrethen Jun.;FC Brühl;Gast-Spiel, da in St.Margrethen Platz besetzt ist. Spiel ist auf dem Kunstrasen
Samstag;12.09.2026;17:00;Meisterschaft;FC Rheineck 1;FC Ruggell;Bei gutem Wetter auf dem Hauptplatz
Sonntag;13.09.2026;12:00;Meisterschaft;FC Au-Rheineck Damen 1;FC Uzwil;Bei gutem Wetter auf dem Hauptplatz
Sonntag;19.09.2026;11:00;Meisterschaft;FC Rheineck D-2 Junioren;FC Rotmonten SG;Bei gutem Wetter auf dem Hauptplatz
Freitag;25.09.2026;20:00;Meisterschaft;FC Rheineck-Au Grp. 50+;FC Juventus-Fortuna SG;Bei gutem Wetter auf dem Hauptplatz
Samstag;26.09.2026;17:00;Meisterschaft;FC Rheineck 1;USV Eschen/Mauren ;Bei gutem Wetter auf dem Hauptplatz
Sonntag;27.09.2026;10:00;Meisterschaft;FC Rheineck D-1 Junioren;FC Rüthi;Bei gutem Wetter auf dem Hauptplatz
Freitag;02.10.2026;20:00;Meisterschaft;FC Rheineck 2;FC Rorschach-Goldach;Bei gutem Wetter auf dem Hauptplatz
Freitag;16.10.2026;20:00;Meisterschaft;FC Rheineck 2;FC Au-Berneck;Bei gutem Wetter auf dem Hauptplatz
Sonntag;18.10.2026;12:00;Meisterschaft;FC Au-Rheineck Damen 1;FC Widnau;Bei gutem Wetter auf dem Hauptplatz
Samstag;24.10.2026;17:00;Meisterschaft;FC Rheineck 1;FC Rebstein;Bei gutem Wetter auf dem Hauptplatz
Sonntag;25.10.2026;10:00;Meisterschaft;FC Rheineck D-1 Junioren;USV Eschen/Mauren;Bei gutem Wetter auf dem Hauptplatz
